date,campaign_id,ad_id,keyword_id,region_id,customer_id,impressions,clicks,conversions,cost,revenue
2025-06-22,12,25,27,7,551,543.0,1465.0,456.0,238.12,447.76
2025-01-20,5,2,20,2,960,578.0,1725.0,347.0,52.04,992.12
2025-01-17,14,41,14,8,401,3741.0,,224.0,436.68,926.67
2025-04-29,6,13,2,9,214,896.0,600.0,358.0,322.24,593.79
2025-03-12,1,18,19,6,209,3345.0,840.0,394.0,193.34,479.93
2025-01-04,16,20,30,2,634,4923.0,1003.0,0.0,253.78,822.47
2025-01-14,6,2,10,14,511,4195.0,244.0,306.0,195.07,805.85
2025-01-03,13,7,13,14,53,1887.0,1268.0,465.0,64.87,326.6
2025-03-21,13,13,19,13,604,2160.0,191.0,31.0,65.19,324.57
2025-02-24,11,8,20,10,558,1094.0,317.0,284.0,188.42,496.08
2025-05-12,16,3,28,4,134,362.0,17.0,30.0,256.64,287.1
2025-04-30,14,14,8,11,89,4841.0,912.0,490.0,42.95,265.34
2025-01-24,11,23,21,2,825,,1442.0,139.0,408.4,223.43
2025-06-11,5,8,22,14,965,950.0,807.0,74.0,393.59,904.5
2025-06-07,10,33,22,3,761,3106.0,1162.0,244.0,288.75,368.86
2025-03-23,15,27,28,7,418,114.0,1159.0,312.0,53.8,575.82
2025-05-27,7,11,16,14,129,1570.0,1637.0,263.0,297.25,453.21
2025-06-08,3,33,17,5,243,1883.0,1324.0,175.0,459.58,57.92
2025-03-01,11,11,8,9,547,1447.0,832.0,117.0,58.07,714.73
2025-05-27,9,38,10,1,958,3779.0,1761.0,249.0,73.58,515.24
2025-02-18,10,43,17,12,728,1851.0,636.0,152.0,228.67,316.32
2025-03-04,4,18,8,13,672,1875.0,1223.0,282.0,168.08,411.37
2025-04-20,20,28,30,15,975,3571.0,142.0,459.0,111.08,238.24
2025-05-30,18,41,19,2,134,2158.0,935.0,80.0,414.14,357.75
2025-06-01,14,26,17,6,886,1411.0,774.0,428.0,448.05,731.39
2025-04-19,9,30,22,3,598,,1961.0,465.0,400.57,770.37
2025-03-17,20,45,6,7,309,4935.0,490.0,363.0,467.53,614.54
2025-01-30,16,10,18,13,252,733.0,1077.0,23.0,338.81,919.15
2025-02-27,2,42,30,9,855,1489.0,1622.0,365.0,339.92,174.93
2025-04-27,7,3,5,12,858,3142.0,1481.0,484.0,241.63,528.16
2025-06-08,5,32,29,7,623,4980.0,460.0,109.0,20.39,693.68
2025-04-10,17,36,15,7,895,1292.0,237.0,328.0,25.19,74.08
2025-01-19,11,10,21,4,76,1647.0,1993.0,127.0,322.59,252.8
2025-06-25,4,21,29,6,449,1329.0,1831.0,19.0,483.31,671.11
2025-06-22,17,50,24,4,742,1317.0,1225.0,334.0,467.25,983.52
2025-04-04,5,7,7,8,24,1461.0,1836.0,281.0,364.42,522.96
2025-04-23,4,25,19,1,603,2473.0,268.0,66.0,202.39,887.34
2025-05-26,10,34,4,3,542,1860.0,1668.0,277.0,181.29,254.85
2025-03-04,3,25,16,6,701,1773.0,839.0,457.0,232.67,503.04
2025-04-26,6,9,22,3,80,3610.0,1700.0,488.0,44.35,90.15
2025-04-23,8,8,23,8,306,3209.0,560.0,357.0,225.27,455.21
2025-02-16,5,35,5,7,166,4240.0,1595.0,79.0,90.25,356.68
2025-02-26,8,44,6,5,729,3834.0,886.0,107.0,367.18,814.49
2025-04-28,10,28,8,7,876,975.0,1332.0,74.0,185.18,797.17
2025-02-14,19,10,14,11,749,4931.0,1837.0,407.0,474.79,741.87
2025-06-10,4,14,17,9,523,4665.0,1038.0,93.0,248.63,605.65
2025-05-25,6,29,1,13,580,3697.0,1335.0,37.0,281.27,342.71
2025-01-04,3,1,12,3,101,3052.0,767.0,225.0,436.25,624.84
2025-05-28,4,19,2,9,246,4558.0,592.0,102.0,109.2,714.65
2025-02-16,4,14,10,7,576,3046.0,1268.0,310.0,175.39,720.64
2025-05-23,5,20,13,11,96,3446.0,1338.0,360.0,259.45,490.21
2025-02-16,15,38,6,12,559,4593.0,1093.0,487.0,307.17,917.92
2025-03-19,16,48,14,8,793,4572.0,1245.0,303.0,,40.55
2025-05-04,6,36,17,2,251,1194.0,546.0,250.0,432.76,197.97
2025-03-16,18,41,4,10,780,409.0,1656.0,374.0,122.2,95.59
2025-04-13,12,8,23,3,60,4346.0,1452.0,192.0,130.71,411.75
2025-05-17,20,38,18,8,450,4935.0,1517.0,478.0,150.87,646.95
2025-03-31,7,42,21,14,294,3125.0,1989.0,451.0,92.86,506.68
2025-05-24,12,24,5,2,647,1903.0,43.0,47.0,49.51,517.07
2025-03-10,14,7,20,5,138,2135.0,1588.0,488.0,285.97,728.68
2025-03-02,13,43,9,12,624,1084.0,1809.0,245.0,497.08,677.61
2025-05-18,11,5,26,12,406,2897.0,30.0,112.0,126.33,127.92
2025-02-19,11,14,22,7,953,4561.0,800.0,454.0,24.82,330.38
2025-01-03,2,9,8,14,198,4808.0,,479.0,61.79,86.76
2025-04-17,14,20,23,10,738,2509.0,275.0,54.0,323.79,891.05
2025-04-23,15,26,26,10,989,3730.0,,382.0,285.39,841.26
2025-04-04,1,25,25,14,569,2636.0,1036.0,227.0,414.25,952.75
2025-04-28,12,20,1,1,65,1140.0,1134.0,166.0,119.07,864.43
2025-03-22,14,6,13,5,150,442.0,913.0,311.0,463.01,895.34
2025-04-19,18,7,24,12,207,2381.0,935.0,180.0,10.29,116.43
2025-02-20,3,36,25,1,712,1843.0,1659.0,445.0,335.37,498.26
2025-05-27,12,49,11,7,298,2639.0,402.0,319.0,134.61,918.39
2025-06-19,5,36,28,12,924,2138.0,892.0,250.0,446.68,820.1
2025-02-04,3,20,4,7,75,4800.0,341.0,497.0,50.94,876.16
2025-02-15,7,46,23,1,185,2652.0,1491.0,328.0,,548.52
2025-06-03,16,18,17,1,415,2828.0,1376.0,223.0,19.67,974.79
2025-03-10,20,8,4,10,243,82.0,407.0,335.0,254.93,856.12
2025-04-03,17,27,8,6,128,4842.0,706.0,259.0,491.94,198.56
2025-03-05,8,5,29,12,432,84.0,692.0,409.0,350.65,913.65
2025-06-14,15,31,26,5,232,1788.0,337.0,496.0,305.89,722.36
2025-02-18,20,46,2,9,885,4316.0,46.0,239.0,267.68,206.54
2025-05-29,15,41,20,9,863,,1964.0,47.0,303.79,105.14
2025-03-15,8,21,17,1,970,728.0,1105.0,202.0,487.44,854.49
2025-01-05,11,3,30,3,226,2407.0,879.0,185.0,105.99,121.33
2025-04-10,10,26,28,14,75,1340.0,1811.0,260.0,178.51,809.42
2025-03-11,18,17,24,9,11,899.0,1053.0,47.0,429.98,732.09
2025-03-31,9,30,16,9,154,3744.0,1906.0,65.0,229.6,110.76
2025-01-04,16,23,30,5,50,1090.0,1515.0,488.0,173.74,141.1
2025-05-06,1,25,6,9,729,2108.0,788.0,375.0,205.75,754.88
2025-02-08,6,50,27,14,8,3635.0,1960.0,361.0,106.21,49.15
2025-06-12,2,4,29,1,541,3245.0,573.0,40.0,97.67,833.05
2025-05-09,13,41,7,4,873,1432.0,1082.0,42.0,465.78,982.52
2025-01-24,6,11,20,15,760,1867.0,1121.0,88.0,45.65,747.13
2025-02-26,9,41,22,1,960,1607.0,77.0,315.0,351.15,935.94
2025-04-10,14,38,22,15,64,2857.0,1920.0,398.0,444.77,986.04
2025-03-11,7,18,15,9,391,4073.0,1439.0,386.0,204.5,163.06
2025-02-10,5,33,24,8,632,4105.0,1663.0,369.0,155.37,125.43
2025-06-23,7,36,13,14,579,4457.0,698.0,355.0,249.15,18.83
2025-03-01,3,38,6,13,674,2346.0,1758.0,280.0,314.0,153.19
2025-04-18,13,18,22,12,255,1625.0,272.0,442.0,334.51,960.96
2025-02-26,12,49,17,9,8,4077.0,215.0,60.0,358.08,51.88
2025-01-31,6,16,1,8,51,2527.0,1989.0,290.0,323.77,963.65
2025-03-25,2,22,29,9,547,3212.0,1418.0,41.0,174.93,178.79
2025-06-01,15,21,12,10,115,4633.0,1230.0,27.0,454.05,727.38
2025-02-05,15,50,1,7,797,2254.0,1623.0,366.0,2.46,867.73
2025-06-07,18,44,27,1,913,4837.0,342.0,180.0,430.92,685.96
2025-06-01,17,31,3,11,615,2189.0,632.0,411.0,162.4,415.27
2025-04-18,3,31,13,11,113,3552.0,17.0,449.0,1.0,761.46
2025-04-16,3,27,11,12,344,1307.0,1506.0,484.0,285.82,53.86
2025-06-07,9,41,29,4,721,2384.0,267.0,366.0,152.29,430.25
2025-03-27,10,50,12,1,193,2523.0,132.0,492.0,128.72,745.52
2025-05-15,12,37,18,2,549,1198.0,1466.0,492.0,128.28,531.55
2025-06-12,1,3,8,14,706,2715.0,549.0,135.0,492.24,584.67
2025-01-14,4,31,16,2,255,2349.0,1503.0,175.0,361.94,591.65
2025-04-30,5,34,1,12,897,4175.0,1150.0,185.0,426.31,414.81
2025-05-18,17,26,9,2,645,4634.0,1582.0,40.0,207.37,668.32
2025-03-21,5,24,4,15,275,2795.0,632.0,487.0,463.48,45.2
2025-05-24,4,10,24,6,168,4623.0,1467.0,185.0,393.4,606.0
2025-04-16,15,29,4,15,948,4174.0,1444.0,399.0,461.68,319.35
2025-03-11,10,38,15,14,644,1715.0,1953.0,65.0,403.47,263.84
2025-02-13,5,13,14,3,821,2907.0,685.0,60.0,55.4,38.7
2025-03-14,14,37,22,2,989,3745.0,1267.0,90.0,182.46,676.28
2025-02-14,13,39,12,4,599,1300.0,1801.0,380.0,172.38,136.24
2025-04-17,19,6,7,15,590,1393.0,1410.0,66.0,257.39,82.8
2025-03-25,8,14,9,5,368,2125.0,165.0,489.0,406.04,363.34
2025-03-23,12,30,5,9,978,2821.0,1947.0,316.0,222.17,192.21
2025-04-17,20,39,19,5,772,4801.0,434.0,243.0,215.03,501.28
2025-01-21,19,49,25,11,912,4449.0,1166.0,251.0,133.89,569.09
2025-06-27,19,4,26,6,570,3358.0,1986.0,,75.35,217.65
2025-06-10,6,45,29,4,16,1760.0,,387.0,228.49,703.16
2025-01-07,8,28,6,6,995,4357.0,1322.0,400.0,120.12,889.13
2025-03-11,10,39,4,6,267,4933.0,949.0,136.0,91.72,637.69
2025-05-07,17,10,26,14,720,1209.0,887.0,186.0,421.66,268.63
2025-05-23,1,26,22,5,737,4376.0,528.0,321.0,9.79,914.61
2025-06-09,19,34,22,8,625,2904.0,521.0,411.0,492.36,468.04
2025-05-28,12,29,6,11,871,90.0,741.0,141.0,386.09,47.3
2025-05-23,2,8,11,7,295,2540.0,383.0,185.0,364.46,482.27
2025-06-25,17,39,3,2,863,4984.0,374.0,414.0,400.2,596.53
2025-05-29,7,18,25,6,542,3034.0,380.0,67.0,346.6,969.09
2025-06-19,14,9,14,10,69,1004.0,457.0,15.0,475.12,616.43
2025-06-03,14,22,5,11,697,4895.0,1034.0,474.0,417.38,142.34
2025-04-30,12,18,18,10,266,4156.0,1769.0,125.0,177.47,786.9
2025-05-08,16,37,28,5,946,3633.0,1433.0,341.0,299.49,961.15
2025-05-22,18,47,30,4,457,1264.0,1438.0,455.0,344.8,832.19
2025-02-26,8,33,4,10,488,4478.0,276.0,150.0,150.89,
2025-06-14,2,48,6,2,144,2106.0,1074.0,411.0,90.29,687.32
2025-02-27,11,45,23,13,980,3012.0,323.0,426.0,475.31,72.99
